"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"76.03930.6639",-0.20264,-0.015365,0.041366,0.0060703,0.048221,-0.01811,0.013026,0.042827,-0.068836,-0.015714,0.0068013,-0.017348,-0.002989,0.0022251,-0.068201,-0.017591,0.007188,-0.013231,-0.061797,-0.05981,-0.069226,-0.081337,0.081191,0.72908
"90.0550.5772",-0.1202,-0.15955,-0.048802,0.10284,0.33275,0.12638,-0.25729,-0.076694,0.0063655,0.055208,0.11567,-0.13509,-0.035484,0.072338,0.047604,0.23701,-0.0046017,0.25574,0.14634,0.2898,0.14224,0.21347,-0.17998,-0.074382
"90.0550.7215",-0.18504,0.063234,0.15624,-0.083887,0.036703,0.0074564,-0.035339,0.087897,-0.039583,-0.02889,0.017119,-0.04933,0.0062168,0.0075024,-0.035324,-0.029492,-0.070406,0.14275,0.077908,0.078725,0.10227,-0.12502,-0.15756,0.48624
"104.07060.7672",-0.036894,0.021176,-0.21678,0.012108,-0.14808,-0.60831,-0.39146,0.16084,-0.082276,0.33615,0.21082,0.043496,0.08399,-0.061479,-0.12712,0.1453,0.13272,-0.058538,0.053649,0.059866,0.20976,0.031648,0.11368,0.0060128
"104.07060.7718",-0.13481,-0.20801,-0.010461,-0.069296,0.0085639,-0.020736,0.1092,-0.16515,-0.049353,0.1263,0.013002,-0.21506,0.074579,0.13775,-0.02357,-0.33138,0.47467,0.25712,0.14176,-0.135,0.10736,0.16612,-0.1698,-0.037567
"104.10750.5315",-0.18445,0.064235,0.11834,-0.056013,0.03662,0.0067066,-0.19788,-0.18782,0.011419,0.065923,-0.1022,-0.18941,0.082584,0.22983,0.017262,-0.079879,0.16034,-0.16238,0.05831,-0.20052,-0.026029,-0.069191,0.23235,-0.047174
"106.04990.8165",-0.19772,-0.024031,0.0023313,-0.084895,-0.093611,0.03353,-0.01243,-0.1068,-0.0975,0.054637,0.12185,0.00039547,0.042032,0.040023,-0.0044816,-0.15312,-0.028266,-0.010723,-0.03503,-0.11357,-0.028364,0.14159,-0.28771,-0.032676
"113.03460.8719",-0.13501,0.14182,-0.060994,0.027642,-0.17393,-0.1509,0.10408,0.042016,0.60125,-0.25505,0.48307,-0.0097209,0.0065458,0.13075,0.1183,0.0010521,-0.013524,0.16746,-0.10704,0.10012,-0.11783,-0.059561,-0.041576,-0.025382
"114.06620.5721",0.0024975,0.2496,-0.19496,0.10202,0.11664,0.11857,-0.0094785,0.29124,-0.036578,-0.047065,-0.10991,0.13601,0.27825,-0.019267,0.13211,-0.032499,0.15725,-0.09764,-0.13186,0.0047473,-0.099537,0.3684,-0.030422,-0.014389
"116.07060.8871",-0.17994,-0.019965,0.014493,-0.23699,-0.079984,0.0081024,0.136,0.081947,-0.027153,0.012624,0.0027624,-0.063038,0.14541,-0.023449,0.021397,0.067072,0.0073631,0.20407,0.0097539,-0.060374,0.1282,0.048016,0.12091,-0.12037
"118.06110.6563",-0.034302,0.2428,-0.14048,0.13974,-0.0079706,-0.15388,0.079787,0.19903,-0.069856,-0.47079,-0.01165,-0.39563,0.0238,-0.010807,-0.21033,-0.17315,0.11486,-0.09348,0.062275,-0.026479,0.30201,0.060483,0.017276,-0.025696
"118.08630.674",-0.036664,0.090873,-0.19859,-0.23308,0.18278,-0.50843,-0.058401,-0.18741,-0.039082,-0.2448,-0.36916,0.064979,-0.41878,0.073793,0.084987,0.0026564,-0.07902,0.11294,-0.031329,0.035841,-0.17777,-0.0062186,-0.1419,-0.01783
"118.08630.9436",-0.028622,0.22089,-0.26928,0.10039,0.030535,0.20807,-0.027231,-0.015602,-0.15145,-0.017154,0.022998,0.10328,-0.2323,0.11776,-0.1022,0.028978,0.28353,0.27691,-0.017066,-0.00025587,-0.069504,-0.27537,0.046152,0.010154
"120.06550.8643",-0.19184,-0.086711,0.035806,-0.054598,-0.043127,0.0049531,-0.090308,0.09209,-0.015584,-0.054296,0.032565,0.044263,0.037283,-0.069493,-0.12951,-0.13465,-0.10842,0.072481,0.070732,0.024648,-0.19308,-0.025331,-0.20962,-0.082921
"123.05530.5961",-0.16535,0.046301,0.15618,-0.16607,0.16985,-0.020329,-0.11017,0.17855,-0.09157,0.00029784,-0.13353,-0.30297,0.091179,-0.3396,-0.03942,0.23101,0.023805,0.26057,-0.24287,0.026247,-0.20516,-0.031802,0.13649,-0.13706
"132.06551.0258",-0.18921,-0.00099315,0.029797,0.16179,0.056269,0.036719,-0.15048,0.075426,-0.12116,-0.063092,-0.010198,-0.014508,0.037157,0.054878,0.23938,-0.012803,0.1102,-0.3559,0.3126,0.22163,-0.31186,-0.20144,-0.016972,-0.076496
"132.07680.7069",0.10537,-0.082737,0.14059,-0.37427,0.05729,0.05644,0.0060172,0.47395,-0.040241,-0.046224,0.14472,0.035845,-0.12873,-0.1632,-0.05089,-0.023032,0.082528,0.014927,0.16274,-0.012116,-0.063195,0.02467,-0.053116,0.010436
"132.10190.8189",-0.021542,-0.19153,-0.31547,-0.013748,-0.019024,0.13431,-0.16309,0.23482,0.2561,0.19,-0.15165,-0.39104,-0.13215,0.045923,0.3355,0.014934,-0.20693,-0.13514,0.075152,-0.14272,0.083655,-0.14756,-0.097843,0.0087525
"132.10190.8305",-0.14059,-0.051208,-0.30122,-0.033563,-0.040019,0.047332,0.28923,0.08472,-0.10795,0.14813,0.056165,0.14227,-0.14639,-0.29206,0.034154,0.028078,-0.11521,-0.047864,0.26913,-0.014661,0.22154,-0.033858,-0.15031,0.027994
"133.06080.8644",0.097454,-0.21652,-0.15675,0.009279,-0.24271,-0.0071677,0.063335,0.022789,-0.028051,-0.0218,-0.10221,-0.19208,-0.0071233,-0.091285,-0.19642,-0.18255,0.11385,-0.097288,-0.014832,0.25133,-0.13374,-0.14486,0.12,-0.0066283
"133.09720.5383",-0.16793,-0.13993,-0.078438,-0.061345,-0.15631,0.0032259,-0.034821,-0.047522,-0.09406,-0.082931,0.065611,0.1843,-0.031466,-0.023279,-0.028346,0.021683,-0.11563,-0.13988,-0.19038,-0.12534,-0.050082,0.19177,0.012968,-0.0094963
"134.04480.9647",0.18356,-0.041896,-0.17682,0.03427,-0.10078,0.040505,-0.087911,0.035385,-0.053683,-0.10367,-0.026489,0.028037,0.077107,-0.10338,0.026,-0.11788,-0.031603,0.076931,0.033795,-0.018668,-0.049512,0.24672,0.099462,0.15483
"137.04581.121",-0.17076,0.083708,-0.094105,0.22021,0.048428,-0.042353,0.053724,0.016994,-0.16205,-0.10069,-0.044652,0.10863,0.11572,0.068762,-0.035022,0.050449,-0.010625,-0.043342,0.081888,-0.070237,-0.16387,0.040774,-0.18586,-0.04254
"144.09880.952",-0.10742,0.16509,-0.24426,-0.13611,-0.14212,0.080442,0.16174,-0.16296,0.064678,0.17376,-0.074114,-0.068893,-0.020268,0.030449,0.20879,0.21119,0.15675,0.021787,-0.036667,-0.038776,-0.046942,0.093091,0.29927,0.18716
"146.11760.6388",0.022931,0.20251,-0.2126,-0.22475,0.088286,0.21084,-0.045099,-0.16432,-0.18718,-0.051526,0.34799,-0.30087,-0.13611,0.008566,-0.3237,0.17805,-0.12601,-0.29898,-0.10053,-0.2076,-0.053725,-0.0054268,-0.1134,-0.059815
"147.07640.8941",0.16893,-0.10991,-0.18172,0.10191,-0.026775,0.047233,-0.0087486,0.039121,0.00098588,-0.04536,-0.041855,0.0042293,-0.0094775,-0.086321,-0.0070162,-0.049345,0.11794,-0.065369,-0.097652,0.073304,-0.0052535,-0.0017666,0.14529,0.05371
"147.11280.5403",-0.17754,-0.1354,-0.025673,-0.084308,-0.063721,-0.042052,0.034775,-0.039791,0.01136,-0.063771,0.021316,0.076581,0.020506,-0.018633,-0.023792,0.013232,0.028262,-0.011848,-0.041923,-0.0735,0.013845,-0.0282,-0.00047372,-0.10862
"148.06040.9091",-0.01513,0.25826,0.13032,0.063204,-0.14353,0.10704,-0.31908,0.059452,-0.0094769,-0.14698,-0.029233,0.15065,0.015362,-0.073126,0.11325,-0.031796,-0.0083192,0.061697,0.14709,-0.24139,0.24578,-0.30572,-0.022303,-0.028904
"150.05830.8747",-0.13738,-0.12816,-0.079786,-0.26413,-0.20425,0.0039464,0.11152,0.00070638,0.0024205,-0.041131,-0.068504,0.18836,0.07592,0.16041,-0.12828,-0.015102,0.030842,-0.1068,0.12959,0.15319,0.076542,-0.17161,0.077833,-0.10356
"156.07680.5794",-0.093673,-0.23365,0.10837,-0.14435,-0.0074888,0.05776,-0.15715,0.036724,-0.092836,-0.23659,0.022273,0.16942,-0.16185,0.03657,0.094666,0.083753,0.063011,-0.031414,-0.040557,-0.28899,0.11698,0.076711,0.30949,-0.082378
"162.11250.6791",-0.17402,0.064914,-0.15435,-0.10544,0.088497,0.080808,0.19116,0.16051,-0.12041,-0.11291,0.051137,0.061447,0.030692,0.26043,0.013066,0.15548,-0.16484,0.084152,0.23693,0.21749,-0.036562,0.13511,0.29583,-0.050715
"166.05110.9977",-0.16728,0.11779,-0.073772,0.032973,0.077294,0.11914,-0.11124,0.31688,0.17947,0.25483,0.02058,0.16853,-0.36772,0.069314,-0.069254,-0.24684,0.22688,-0.0064638,-0.18678,-0.12576,-0.17022,0.09904,0.0036035,-0.056421
"166.05111.0071",-0.1626,0.1254,-0.13598,-0.077415,0.021193,0.1261,-0.072491,0.058866,0.098235,0.11743,-0.34788,0.12506,0.22321,0.16122,-0.22223,-0.13176,-0.26159,0.048653,-0.32094,0.12798,0.30548,-0.10315,-0.082682,-0.080462
"166.08630.9082",-0.19872,-0.013958,-0.018057,-0.11682,-0.020718,0.017251,0.075253,0.035392,0.00013505,0.025091,-0.031183,0.014265,-0.017581,0.057683,0.075927,-0.0075791,0.0005528,-0.053023,0.069569,-0.084315,0.041299,-0.023968,-0.058578,-0.0018492
"168.07470.6301",-0.15131,0.18474,-0.041415,0.1186,-0.054292,0.035618,-0.071405,0.0043655,-0.052705,-0.011795,-0.050263,0.034633,0.039486,-0.10827,0.029737,-0.022672,-0.046865,0.12677,0.11681,-0.065836,0.034091,-0.071992,0.023047,-0.11445
"170.09240.5936",-0.011877,-0.26781,0.037642,0.15439,0.16511,0.0047717,-0.11607,0.15294,-0.047767,-0.22402,0.046722,0.073545,-0.12767,0.30737,-0.0085579,-0.030959,-0.045902,-0.052913,-0.025767,-0.011194,0.24024,0.14883,0.1149,0.073742
"175.1190.5603",0.1586,0.050179,0.023243,-0.25726,-0.094304,0.11583,-0.31678,0.040066,0.16091,0.060427,-0.029551,0.018415,0.06814,0.27783,-0.33946,0.0046721,-0.047163,-0.029862,0.15335,0.14028,-0.17723,0.10196,-0.011795,0.092327
"176.07060.6945",-0.16097,-0.11231,-0.063281,0.03517,0.14028,0.081004,-0.041068,-0.13252,0.52198,-0.1861,-0.27568,0.082383,0.025428,-0.33772,-0.31365,0.18446,0.17037,-0.14577,0.25435,-0.11379,0.017158,0.12455,0.0089734,0.051414
