"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"CF_1",-2.4496,-0.99563,-4.425,1.1141,0.80951,-1.282,0.2284,-0.85168,-0.094555,-0.027889,0.5328,0.41223,-0.86152,0.016377,-0.25404,0.24908,-0.2709,0.13087,-0.055888,0.16102,-0.064107,-0.098121,-0.04302,-8.9859e-16
"CF_2",-2.7525,-1.3492,-4.4408,0.62101,0.96838,-0.7795,-1.0811,-0.52388,-0.72108,0.15128,-0.80986,-0.36232,0.090948,0.49157,0.0094114,-0.17653,0.37357,-0.21612,0.057626,-0.23008,-0.024314,0.092177,0.023719,-5.5511e-17
"CF_3",-9.3152,2.8181,0.85889,-1.6885,1.0926,0.41312,0.012545,-0.67097,-0.20902,-0.64472,0.42785,0.17547,0.20243,-0.41841,-0.13441,-0.29783,0.47744,-0.19203,-0.11175,0.27576,0.059531,-0.086252,0.06456,2.1788e-15
"CF_4",-9.6327,2.117,0.23104,-1.5575,1.2935,1.1285,-0.62292,-0.059922,0.22864,-0.7215,0.40441,-0.11281,0.014818,0.16619,0.46455,0.18977,-0.23229,0.41319,0.091502,-0.31019,0.098891,0.038548,-0.0076503,9.7145e-16
"CF_5",-0.24479,-5.709,1.7968,0.264,1.9252,2.4435,-0.75465,-0.16721,0.56193,1.3317,-0.078694,0.058533,-0.26748,0.17199,0.37396,-0.0027646,0.045187,-0.083956,-0.19333,0.098677,-0.053981,-0.10939,0.028392,6.193e-16
"CF_6",1.5998,-5.3444,2.5218,0.7569,1.8704,0.69449,1.3598,-0.81539,-0.074268,-0.56646,0.22765,-0.10563,0.4585,0.38105,-0.45053,0.20037,-0.1999,-0.20866,0.29034,0.017114,-0.016797,0.089769,-0.021918,-1.0842e-15
"CF_7",-2.9323,-2.2352,-2.7508,2.2474,-0.81226,1.3887,1.474,0.28906,-0.48017,0.31947,-0.4282,0.3964,0.20299,-0.61391,0.21406,-0.21019,-0.26146,-0.088146,0.03233,-0.028617,0.26404,0.0785,-0.010964,3.1572e-16
"CF_8",-3.2788,-1.791,-3.1697,2.5623,-1.5472,0.31193,0.54315,0.90357,1.0893,-0.28019,0.41871,-0.42083,0.6354,0.087425,0.031847,0.17068,0.17975,0.12417,-0.078932,0.10262,-0.21444,-0.056313,0.046004,1.1727e-15
"CF_9",-8.7331,2.0851,2.7906,-0.16173,-1.3415,-0.73145,0.64464,0.028394,-0.29693,0.83151,-0.65802,0.41495,-0.01247,0.22907,-0.29702,-0.10256,-0.12497,0.30701,-0.0075016,0.056276,-0.18827,0.15772,0.13553,1.6653e-15
"CF_10",-9.0323,2.3111,1.9465,-0.24553,-1.3491,-1.2325,0.041355,0.6043,0.24017,0.49237,-0.074244,-0.46081,-0.1802,0.056363,-0.016193,0.23251,-0.13708,-0.50507,0.069424,-0.039841,0.047262,-0.11093,-0.19915,1.471e-15
"CF_11",-0.02249,-6.1617,1.331,0.30175,-0.014226,-1.0797,-1.5051,0.71983,0.44687,-0.42126,-0.0087232,-0.61463,-0.39522,-0.43943,-0.42008,-0.40184,-0.17093,0.089809,0.080208,-0.034922,0.094172,0.014813,0.11052,1.5959e-16
"CF_12",1.2713,-6.5472,2.7424,0.91047,-0.36492,-2.0612,0.030778,0.48849,-0.97376,-0.54148,0.10537,0.61672,0.095732,-0.0022666,0.36683,0.11974,0.2939,0.15824,-0.20977,-0.068695,-0.02215,-0.035319,-0.11199,2.4286e-16
"NEG_1",3.7458,-0.79097,-1.4113,-3.8349,-0.11581,0.39528,0.88169,1.1331,-0.52024,0.51672,0.69067,0.19743,-0.30649,-0.077874,0.033043,0.068825,0.25568,-0.071091,0.42475,-0.089532,-0.083426,-0.01613,0.081886,-5.0134e-16
"NEG_2",3.3191,-0.48116,-1.706,-4.5172,0.072681,1.0758,0.27933,0.72809,-0.27973,-0.45848,-0.37296,-0.16346,0.086918,0.22975,-0.28693,-0.066693,-0.25655,-0.018462,-0.48089,0.088689,-0.025188,0.078975,-0.097199,-3.0878e-16
"NEG_3",4.8103,4.0205,0.22038,0.24714,2.5228,-1.5286,0.80768,0.15958,-0.45561,0.51614,-0.24861,-0.43264,0.48645,-0.031253,-0.001697,-0.14343,-0.18501,0.23108,-0.020376,-0.033932,0.04633,-0.32854,0.045378,-4.5103e-16
"NEG_4",4.1375,3.9379,0.47872,0.99071,2.6421,-1.1466,0.63137,0.15632,0.74413,0.42228,0.2555,-0.27733,-0.16286,-0.33807,0.13671,-0.066794,0.21175,0.073803,-0.06542,0.035965,-0.024814,0.34668,-0.1186,-2.1858e-16
"NEG_5",3.3367,2.5009,-0.44665,-0.018097,0.714,-0.2759,-1.4117,0.60642,0.59117,-0.60319,-0.81936,0.76023,0.1519,0.18243,0.25737,-0.030839,-0.14483,-0.057926,0.3519,0.32831,-0.0092308,-0.012346,-0.035872,-1.236e-16
"NEG_6",3.9752,3.1204,0.39319,0.58979,0.26541,-0.56581,-0.78975,0.058675,0.21865,-0.10559,0.20559,0.52746,0.17453,-0.24221,-0.056937,0.47772,-0.17037,-0.41237,-0.26818,-0.24236,-0.0076499,0.04591,0.21495,1.4442e-16
"NEG_7",3.9547,-1.0235,-0.1385,-2.1863,-1.9583,-0.84465,0.7659,-1.1976,1.4993,0.013047,-0.088219,0.43511,0.071661,0.028783,0.070897,-0.45132,0.038503,-0.0098956,0.0035849,-0.25406,-0.010423,-0.085317,-0.049249,-1.1033e-15
"NEG_8",3.7381,-1.541,-0.064986,-2.1944,-2.1967,-0.69227,-0.43304,-1.1282,-0.20828,0.32726,-0.23735,-0.66871,0.19787,-0.25467,0.295,0.53899,0.031094,0.15377,0.066323,0.24994,0.13035,0.071112,0.051998,-8.292e-16
"NEG_9",3.7444,2.8799,1.5402,1.5436,-0.62487,1.7454,0.91141,-0.23919,-0.25241,-0.97398,-0.90138,-0.41713,-0.69125,-0.30292,0.1175,0.10981,0.14048,-0.0083083,0.024104,-0.092461,-0.20122,-0.089988,0.0099458,1.0582e-16
"NEG_10",3.723,2.9994,0.80907,1.735,-1.1101,0.81571,0.20707,0.37828,0.28524,0.038265,0.10468,0.12741,-0.31043,0.64999,-0.38372,0.12303,0.3644,0.16845,-0.063192,0.016026,0.37478,-0.02621,0.021874,4.9873e-16
"NEG_11",3.0496,2.2746,0.1165,0.94032,-0.98395,1.6502,-1.8742,-0.3422,-0.53858,0.51701,0.34778,0.2171,0.3972,-0.40801,-0.50798,0.01023,0.037404,0.18729,0.092515,-0.11986,-0.11241,-0.025434,-0.17916,-9.2981e-16
"NEG_12",3.9882,2.9051,0.77639,1.5794,-1.7576,0.15763,-0.34662,-0.2579,-0.80079,-0.13233,1.0046,-0.30276,-0.07943,0.43805,0.43835,-0.53997,-0.29487,-0.16564,-0.029376,0.11416,-0.056938,0.066094,0.040017,-1.2282e-15
